,Country,Date Start,Description of measure implemented
1257,Singapore,"Jan 31, 2020",All visitors from mainland China are blocked from entering Singapore
68,Sweden,"Jan 31, 2020","The first confirmed case of the pandemic of COVID-19 in Sweden was announced on 31 January 2020, when a woman returning from Wuhan tested positive."
621,Russia,"Jan 31, 2020","On 31 January, two cases were confirmed, One in Tyumen, another in Chita, Zabaykalsky Krai. Both were Chinese nationals"
663,Italy,"Jan 31, 2020","On 31 January, the Italian government suspended all flights to and from China"
307,Spain,"Jan 31, 2020",Spain confirmed its first COVID-19 case in La Gomera (positive test)
671,Italy,"Jan 31, 2020","The first cases of COVID-19 in Italy during the 2019–20 worldwide pandemic were confirmed on 31 January 2020, when two Chinese tourists in Rome tested positive for the virus.["
691,US:California,"Jan 31, 2020",
662,Italy,"Jan 31, 2020",declared a state of emergency
664,Italy,"Jan 31, 2020",The government also introduced thermal scanners and temperature checks on international passengers arriving at Italian airports.
58,Israel,"Jan 30, 2020",Israel suspended all flights from China.
832,Russia,"Jan 30, 2020",Border with China is closed.
1407,Georgia,"Jan 30, 2020",Prime Minister Giorgi Gakharia alleges that the country's healthcare system is ready to respond to the new coronavirus if it enters Georgia.
578,Czechia,"Jan 30, 2020","On Thursday, January 30, 2020, after the WHO declared a so-called global emergency, the Ministry of Health commented in a press release on the next planned steps."
1253,Singapore,"Jan 30, 2020",4 masks distributed to each household
52,South Korea,"Jan 30, 2020",Implemented new testing method (Real Time- RT PCR)- gene amplification method allows to test COVID-19 virus and receive results within 6 hours. Will distribute kits across private hospitals 
328,Belgium,"Jan 29, 2020","On 29 January, Belgium issued a travel notice advising against non-essential flights to China, Hong Kong excluded, with some travel companies cancelling all flights to China.[8]"
961,Singapore,"Jan 29, 2020",Visitors from Hubei are banned
331,Belgium,"Jan 29, 2020",Chinese New Year celebrations were cancelled at the University of Leuven.[9]
731,Germany,"Jan 29, 2020",The government ordered pilots of flights from China to describe the health status of their passengers and ordered passengers to fill out a contact document.
1409,Georgia,"Jan 29, 2020",Georgia suspends direct flights with China for two months.
732,Germany,"Jan 28, 2020","Hotlines were established to calm down worried callers and advise unsettled citizens to follow the usual rules that are also appropriate to protect against a flu infection: regular hand washing, coughing or sneezing in a handkerchief or keeping your arm and distance from other sick people. —> doesn't seem that these were ""symptom"" hotlines in the sense that they would try to identify ill people and work with them further"
1108,Nepal,"Jan 28, 2020","On 28 January, Nepal closed down the Rasuwagadhi border with China, bringing Nepal-China trade to a complete halt."
1349,Cyprus,"Jan 28, 2020","On 28 February 2020, the Council of Ministers decided to activate the Cyprus Crisis Management Centre, to suspend the operation of 4 crossing points for more effective control of those passing though and to identify government accommodation facilities or camp sites for the isolation of suspected cases in the event of a pandemic."
966,Singapore,"Jan 28, 2020","Contact tracing for ~2,000 recent travellers from Hubei, high-risk cases  quarantined"
730,Germany,"Jan 28, 2020","After a case was suspected in a Lufthansa plane, the company suspended all flights to China + This also applies to all flights operated by Swiss and Austrian Airlines"
1107,Nepal,"Jan 28, 2020","Bordering districts of India were reported to be in high alert, and medical personnel had been deployed to various entry points along the Indo-Nepal border."
1406,Georgia,"Jan 28, 2020","Georgia bans the import of live animals, including turtles and ornamental fish, from China. Tbilisi claims the ban will remain in effect until the WHO declares China free from the coronavirus."
373,Finland,"Jan 28, 2020","On 28 January, Finland confirmed the first case of Coronavirus disease 2019 (COVID-19). A 32-year-old Chinese woman from Wuhan sought medical attention in Ivalo and tested positive for SARS-CoV-2. She had travelled from Wuhan. She was quarantined at Lapland Central Hospital in Rovaniemi.[7][1][8][2] The woman recovered and was discharged on 5 February after testing negative on two consecutive days.[9]"
965,Singapore,"Jan 27, 2020",Quarantine facilities designated
383,Georgia,"Jan 27, 2020",The Health Ministry announced that all arriving passengers from China would be screened.
1247,Singapore,"Jan 27, 2020","14-day leave of absence (LOA) for people in education, healthcare, and eldercare sectors if they have been to China in the past 14 days"
1238,Singapore,"Jan 27, 2020",Travel advisory to avoid travel to mainland China
957,Singapore,"Jan 27, 2020",Temperature screening for all incoming flights
368,Finland,"Jan 27, 2020","On 27 January, Finland's foreign ministry advised citizens to avoid unnecessary travel to Hubei province."
399,Hungary,"Jan 27, 2020",University Semmelweis put 12 students which came from foreign countries into quarantine
374,Finland,"Jan 27, 2020","The following day, the Finnish airline Finnair announced it suspended five weekly routes to Nanjing and Beijing Daxing until the end of March.[6]"
577,Czechia,"Jan 27, 2020","On Monday, January 27, 2020, the Ministry of Health ordered a protective measure that applies to workers at the Václav Havel Airport Prague."
1431,Uganda,"Jan 27, 2020",Screening measures have started at Entebbe International Airport in Uganda. (unclear whether risk or all countries)
384,Georgia,"Jan 27, 2020",All flights from China and Wuhan to Tbilisi International Airport were cancelled until 27 January.
382,Georgia,"Jan 27, 2020",Georgia also temporarily shut down all flights to Iran.[2]
880,Egypt,"Jan 26, 2020",Flights from China to Egypt banned
1408,Georgia,"Jan 26, 2020",Georgian doctors start examining passengers arriving from China at airports for coronavirus-related symptoms
1058,Nepal,"Jan 25, 2020","As of 24 March 2020, Nepal has confirmed two cases of COVID-19 disease, both in persons who had recently returned from abroad. The first case was confirmed on 24 January in a 32-year old man who had recently returned from China. The patient who had shown mild symptoms was completely cured by early February. The second case was confirmed on 23 March in a 19-year old woman who had recently returned from France. She is being treated in isolation in Teku Hospital. On 24 March, a 30-year old man suspected of the disease died while undergoing treatment in isolation in Bharatpur Corona Special Hospital."
1057,Nepal,"Jan 25, 2020","On 25 January, a day after the first case was confirmed, the Health Ministry informed that two other suspected patients were in isolation at Teku Hospital. The hospital discharged them in the morning of 27 January without waiting for test results even though the results were due later that same day, raising concerns over its handling of the crisis. The tests which confirmed a negative result for both patients were conducted at the biosafety level-2 labs of the National Public Health Laboratory, the first such tests to be performed in Nepal. Reagents sufficient for 100 tests were borrowed from the Centre for Molecular Dynamics and test kits were provided by the World Health Organisation. A woman was in isolation awaiting test results as of 27 January."
687,US:California,"Jan 25, 2020",first case: home isolation
143,Taiwan,"Jan 24, 2020",Taiwan began rationing face masks to its citizens.
992,US: Illinois,"Jan 24, 2020","On January 24, 2020, Illinois health officials announced the first confirmed case of the novel coronavirus in the state of Illinois, also the second confirmed case in the United States. The case was a woman in her 60s who had returned from Wuhan, China, the place of origin of the outbreak. She had frequently visited a hospitalized relative,[5] and began to experience symptoms after returning to Chicago."
983,US:Maryland,"Jan 24, 2020",Maryland hospitals began travel screening for coronavirus when taking in new patients entering the emergency room
1233,Singapore,"Jan 23, 2020",Travel advisory to avoid travel to Wuhan and the rest of Hubei
956,Singapore,"Jan 23, 2020","Contact tracing, close contacts quarantined"
955,Singapore,"Jan 23, 2020",Confirmed case isolation
1241,Singapore,"Jan 23, 2020",Temperature screening expanded to land and sea checkpoints
1099,Nepal,"Jan 23, 2020","On 23 January, Dr. Bashudev Pandey, director of Teku Hospital, was quoted as saying that the hospital was on high alert, while three other hospitals — Nepal Police Hospital, Patan Hospital and Tribhuvan University Teaching Hospital — would also treat the disease. Six beds in Teku Hospital had been allocated for isolation of suspected patients."
1260,Singapore,"Jan 22, 2020",Temperature screening at Changi Airport for all travellers arriving from Wuhan
1256,Singapore,"Jan 22, 2020",Travel advisory to avoid non-essential travel to Wuhan
280,Romania,"Jan 22, 2020","Romanian government announced several preventive measures including designation of five hospitals as isolation centres for new cases, purchase and placement of thermal scanners in international airports and special designated lines for passengers coming from areas affected by COVID-19 outbreak."
1235,Singapore,"Jan 22, 2020",Government task force is set up
1329,Romania,"Jan 22, 2020","Romanian government announced several preventive measures including designation of five hospitals as isolation centres for new cases, purchase and placement of thermal scanners in international airports and special designated lines for passengers coming from areas affected by COVID-19 outbreak."
156,China,"Jan 20, 2020",Case numbers rose to 136; Beijing and Shenzhen reported first cases
155,China,"Jan 20, 2020",city formed specialized command for epidemic control (CEC) to upgrade measures to cope with the epidemic including enhanced protection over the medical workers;
1100,Nepal,"Jan 17, 2020","On 17 January, urged by the WHO, Nepal began screening passengers arriving in Tribhuvan International Airport from China, Thailand and Japan, the three countries with multiple confirmed cases. Eight persons manned the health desk. The airport did not have infrared thermal scanners and was therefore using thermal scanners as preparations were being made to install the infrared ones. The passengers who showed fever were being asked to remain in contact and contact the hospitals if they showed additional symptoms."
15,Vietnam,"Jan 16, 2020",Two tourists from Wuhan presenting with fevers were quarantined at the airport in Danang 
208,Japan,"Jan 16, 2020","Japan reported first case to WHO, a 30 year Chinese national who had not visited the seafood market but was a known close contact of an affected person in Wuhan "
154,China,"Jan 15, 2020","Wuhan Municipal Health Commission stated on it's website that there was no clear indication of human to human transmission but did not rule out the possibility, although maintained that the risk of human to human transmission was low; total case number 41"
207,Thailand,"Jan 13, 2020","First case outside China reported, a resident of Wuhan, visiting Thailand; detected via thermal imaging on arrival at airport "
206,China,"Jan 12, 2020","700 close contacts of initial 41 infections closely monitored with no new infections; WHO published initial guidance on travel, lab testing and medical investigation "
205,China,"Jan 10, 2020",First two patients outside Wuhan admitted to hospital in Shenzhen 
204,European Union,"Jan 09, 2020","European Centre for Disease Prevention and Control (ECDC) issued first risk assessment, saying likelihood of introduction to Europe was low given low risk of human to human transmission; Public Health England (PHE) also issued statement outlining that the risk was low "
166,China,"Jan 08, 2020",Scientists announce new coronavirus 
53,South Korea,"Jan 08, 2020","First possible case in South Korea announced, Chinese woman travelling from Wuhan who worked near Seoul"
161,United States,"Jan 07, 2020",United States CDC issues travel warning to for travellers to Wuhan for cluster of pneumonia cases of unknown etiology 
146,Taiwan,"Jan 05, 2020",Taiwan CDC began monitoring all individuals who had travelled to Wuhan within fourteen days and exhibited a fever or symptoms of upper respiratory tract infections.
157,China,"Jan 03, 2020","Research on virus commenced; 44 cases reported, 120 close contacts started being monitored "
1242,Singapore,"Jan 03, 2020",Temperature screenings at Changi Airport are expanded to cover all inbound travellers arriving from mainland China
1245,Singapore,"Jan 02, 2020","MOH alerts doctors to look out for suspected patients with pneumonia who have recently returned from Wuhan, and advises travellers to Wuhan to monitor their health."
153,China,"Jan 01, 2020",Huanan Seafood Market closed by Jianghan District's Health Agency and Administration for Market Regulation for 'environment improvement'; workers in hazmat suits inspected market and collected samples
768,Italy,"Feb 29, 2020",Messina closed all schools from 29 February to 3 March.
35,South Korea,"Feb 29, 2020",KCDC- ask all workers to enact Business Continuity Planning and work remotely 
34,South Korea,"Feb 29, 2020",All Nations- maintain personal hygiene and practice social distancing until early March perhaps longer 
33,South Korea,"Feb 29, 2020","Avoid activities in confined space, call for non-essential event restriction in churches "
1427,Georgia,"Feb 29, 2020",The government closes schools down until March 16.
659,US:Washington,"Feb 29, 2020",state of emergency
1268,Nepal,"Feb 29, 2020",Nepal suspended labour migration to South Korea.
935,Denmark,"Feb 29, 2020","According to the guidelines by the Danish Health Authority, all infected people that have no or mild symptoms and are not considered particularly vulnerable are placed in home quarantine with daily contact from health professionals. Anybody that has been in close contact with someone known to be infected with SARS-CoV-2 is also placed in home quarantine."
1266,Nepal,"Feb 29, 2020",The government also decided to suspend promotional activities for Visit Nepal 2020
322,France,"Feb 29, 2020","the Paris half marathon scheduled for Sunday 1 March with 44,000 participants was cancelled"
1265,India,"Feb 29, 2020",India started screening passengers from Nepal and making masks compulsory for all visiting Nepalis
1270,Nepal,"Feb 29, 2020","It was also screening Nepalis travelling into India by land, at various checkpoints at the border."
461,Ireland,"Feb 29, 2020","The 2019–20 coronavirus pandemic was confirmed to have spread to Ireland on 29 February 2020.[1] This was announced by Tony Holohan the Chief Medical Officer for the Irish Department of Health.A secondary school linked to the case, Scoil Chaitríona in Glasnevin, was shut down for two weeks as a precautionary measure."
539,Monaco,"Feb 29, 2020","On 29 February, Monaco announced its first case, a man who was admitted to at the Princess Grace Hospital Centre then transferred to Nice University Hospital in France."
1267,Nepal,"Feb 29, 2020","On 29 February, the government formed a high level committee to prevent and control the spread of COVID-19 under the leadership of Deputy Prime Minister Ishwor Pokhrel."
1455,Japan,"Feb 28, 2020",Japan government Internet TV- released video of how to properly wear a mask 
542,Romania,"Feb 28, 2020",The Romanian Orthodox Church suggested that followers use their own spoons and avoid kissing icons in church.
1440,US:Alabama,"Feb 28, 2020","recommended individuals protect themselves from COVID-19 by getting a flu shot and ""other normal precautions"
525,Switzerland,"Feb 28, 2020","the Federal Council announced an immediate ban on all public and private events involving more than 1000 participants, as one of the efforts to curb the spread of COVID-19 infection. Further, events of 150 or more now need federal permission."
766,Italy,"Feb 28, 2020","On 28 February, during an interview with Rai News24, Professor Massimo Galli from the Luigi Sacco Hospital in Milan suggested that the majority of newly recorded cases were pre-existing cases that were finally detected during the extensive tests performed on people (and their relatives) who had come in contact with confirmed patients. The rapid increase of positive cases was the result of the blanket testing approach that was deployed following the first confirmed case in Codogno."
1457,Japan,"Feb 28, 2020",Japanese government Internet TV- released videos of safety measures for containing COVID-19 * contains multiple source URLs. 
1426,Russia,"Feb 28, 2020","Russia sends out mobile sanitary brigades to help separatist Abkhazia deal with the virus, as Sokhumi refuses to collaborate with Tbilisi on the outbreak."
622,Germany,"Feb 28, 2020","passengers from China, South Korea, Japan, Italy and Iran to report their health status before entry. Train railway companies must report passengers with symptoms"
436,Iceland,"Feb 28, 2020","On 28 February, Iceland confirmed the first case of COVID-19, an Icelandic male in his forties, who had been on a ski trip to Andalo in Northern Italy and returned home on 22 February; when he developed symptoms after his arrival, he was quarantined at Landspítali hospital in Reykjavík.[1][2] Subsequently, The National Commission of the Icelandic Police declared an Alert Phase.[3]"
1456,Japan,"Feb 28, 2020",Japanese government Internet TV- released video of handwashing instruction 
311,Azerbaijan,"Feb 28, 2020",On the same day Azerbaijan closed borders with Iran for 2 weeks.[3]
611,Russia,"Feb 28, 2020",The Russian government temporarily barred Iranian citizens from entering Russia.
733,Germany,"Feb 28, 2020",Train railway companies must report passengers with symptoms to authorities and the federal police would step up checks within 30 kilometres of the border
319,France,"Feb 28, 2020",the fashion designer agnès b. cancelled fashion shows in Paris Fashion Week which was scheduled to run until 3 March
306,Azerbaijan,"Feb 28, 2020","On 28 February, the country confirmed its first positive case of COVID-19. The patient, a Russian national, had traveled from Iran.[2]Two more cases were later confirmed in the country and they were all isolated. They were Azerbaijani nationals who returned from Iran."
738,Germany,"Feb 28, 2020","The crisis team is of the opinion that if these principles are applied, imminent major international events such as the ITB should be canceled."
133,Hong Kong,"Feb 28, 2020","HK gov issued a Red Outbound Travel Alert (OTA) on the Emilia-Romagna, Lombardy and Veneto regions in Italy. 
The Government had issued a Red OTA on Iran on January 10, 2020 due to safety concerns. In view of the persistent and rapid increase in the number of COVID-19 cases in the past few days, the Government alerted the public about the outbreak of COVID-19 cases and associated public health risk in Iran under the existing Red OTA. The existing Red OTA remains in force.
After returning to Hong Kong, consult a doctor promptly if experiencing a fever or other symptoms, take the initiative to inform the doctor of any recent travel history and any exposure to animals, and wear a surgical mask to help prevent spread of the disease until 14 days after returning to Hong Kong."
325,Belarus,"Feb 28, 2020","On 28 February, Belarus confirmed its first case. A student from Iran tested positive on 27 February and was admitted to a hospital in Minsk.[1][2] The individual arrived in Belarus via a flight from Baku, Azerbaijan, on 22 February.[1][3]"
462,Lithuania,"Feb 28, 2020","On 28 February, Lithuania confirmed the first case of COVID-19, a 39-year-old woman who arrived to Kaunas from Verona, Italy after business trip. She was then hospitalised in Šiauliai."
1113,Iraq,"Feb 27, 2020",Public gatherings banned.
358,Estonia,"Feb 27, 2020","On 27 February, Estonia confirmed the first COVID-19 case, an Iranian citizen felt ill on board a bus from Riga, Latvia to Tallinn and called himself an ambulance, the 34-year-old man tested positive. He had originally departed from Iran, and flown from Turkey to Riga.[1][6]"
1425,Georgia,"Feb 27, 2020","Airline Wizz Air reduces its flight frequency to Italian destinations, including a full cancellation of flights to Milan."
582,Czechia,"Feb 27, 2020","On Thursday 27 February 2020, Minister of Health Adam Vojtěch convened a meeting of the Central Epidemiological Commission. It discussed current developments regarding coronavirus disease in Europe and the Czech Republic's readiness for a possible spread of the disease to its territory. At the end of the meeting, the Minister called on the state administration authorities to elaborate without delay the Type Plan, which is designed for emergency situations."
1381,Iraq,"Feb 27, 2020",Cinemas closed
37,South Korea,"Feb 27, 2020","all national, state and local authorities are conducting epidemiologic survey and disinfecting public spaces after briefing from Korean CDC (KCDC)"
36,South Korea,"Feb 27, 2020",All medical staffs must wear individual protection gear or full-bodie gear for examinations 
406,Estonia,"Feb 27, 2020","On 27 February, Estonia confirmed the first COVID-19 case, an Iranian citizen felt ill on board a bus from Riga to Tallinn and called himself an ambulance from Tallinn bus station. He had originally departed from Iran, and flown from Turkey to Riga, spending at least 2.5 hours in Riga and using public transport.[6]"
767,Italy,"Feb 27, 2020","he Ministry of Health announced new guidelines for reporting cases. It would no longer report asymptomatic cases (positive swabs taken from patients who were not showing symptoms), which had counted as 40 to 50% of all reported cases at the time. These people would undergo isolation at home and would be followed up with new tests until they were negative."
356,Denmark,"Feb 27, 2020","On 27 February 2020, Denmark confirmed its first case when a man from Roskilde tested positive for COVID-19 at Zealand University Hospital, Roskilde. He was an editor from TV 2 who had been skiing in Lombardy in Italy and returned to Denmark on 24 February. He had mild symptoms and was placed in home quarantine."
433,Netherlands,"Feb 27, 2020","the first confirmed case of COVID-19, a man who had been in the Lombardy region of Italy was admitted to Elisabeth-TweeSteden Hospital in Tilburg.[6][7]"
1112,Iraq,"Feb 27, 2020",schools and universities closed.
70,San Marino,"Feb 27, 2020","confirmed first case, an 88-year-old man with pre-existing medical conditions, who came from Italy. He was hospitalised at a hospital in Rimini, Italy."
1415,Georgia,"Feb 27, 2020",Turkish citizens who visited coronavirus-infected countries are banned from crossing the Georgian-Turkish border.
759,Italy,"Feb 26, 2020",Cartoocomics Fair in Milan was rescheduled to 2 to 4 October. The Winter Rescue Race in Piedmont was cancelled.
758,Italy,"Feb 26, 2020",D'Annunzio University suspended all activities until 29 February.
760,Italy,"Feb 26, 2020",Multiple schools were closed in Roseto degli Abruzzi
376,Georgia,"Feb 26, 2020","On 26 February, Georgia confirmed its first COVID-19 case. A 50-year-old man, who returned to Georgia from Iran, was admitted to Infectious Diseases Hospital in Tbilisi. He came back to the Georgian border via Azerbaijan by taxi."
756,Italy,"Feb 26, 2020","On 26 February, Director of the Italian National Institute of Health Franco Locatelli announced that swabbing would only be performed on symptomatic patients, as 95% of the swabs previously tested were negative"
450,Macedonia,"Feb 26, 2020","On 26 February, North Macedonia confirmed its first case, a woman who tested positive for SARS-CoV-2 in a Clinic for Infectious Diseases, in Skopje. She had stayed in Italy for a month and had been sick for two weeks. Upon returning to North Macedonia, she immediately reported to the clinic"
570,Czechia,"Feb 26, 2020","On Wednesday, February 26, 2020, given the current epidemiological situation, the Ministry of Health issued recommendations to travelers who have been in the Emilia-Romagna, Lombardy, Piedmont and Veneto regions since mid-January 2020 to monitor their health status in the next 14 days after leaving the region. focusing on symptoms of incipient respiratory disease (especially fever above 38 ° C, respiratory problems)."
606,Romania,"Feb 26, 2020",First case in Romania.
761,Italy,"Feb 26, 2020","On 27 February, Taranto, Apulia closed all schools until 29 February."
1413,Georgia,"Feb 26, 2020","Prime Minister Giorgi Gakharia sets up an Inter-Agency Council for Coordination Against the Coronavirus (IACC), made of representatives of every major government agency, to manage the situation. The IACC's first decision is to ban flights to Iran."
543,Norway,"Feb 26, 2020","On 26 February, Norway confirmed the first case of COVID-19. The Norwegian Institute of Public Health announced that someone tested positive for SARS-CoV-2 after returning from China the previous week. The female patient was asymptomatic and in good health. She underwent a voluntary isolation at her home in Tromsø"
968,Singapore,"Feb 26, 2020",Citizens returning from Daegu and Cheongdo (South Korea) issued 14-day SHN
762,Italy,"Feb 26, 2020","The Italian Winter Sports Federation decided to proceed with the Women's World Cup alpine skiing races at La Thuile, Aosta Valley on 29 February. The MIDO Milan Eyewear Show was rescheduled to 5 to 7 July."
763,Italy,"Feb 26, 2020",Politecnico di Milano conducted thesis mentoring for more than one thousand students graduating the following week using Skype.
552,Romania,"Feb 26, 2020",The Minister of Education and Research enforced the schools to spread awareness about coronavirus.
753,Italy,"Feb 26, 2020",The University of Basilicata installed a thermal scanner and continued all teaching activities as per normal.
752,Italy,"Feb 26, 2020",The University of Bari suspended all medical- and health-related internships for medical and healthcare students.
38,South Korea,"Feb 26, 2020",Limit all church activities and self-isolate first if you exhibit any slight symptom and contact the hospital 
91,Israel,"Feb 26, 2020",Israel issued a travel warning to Italy and urged cancelling all travel abroad.
421,Greece,"Feb 26, 2020","As of 26 February, the first case in Greece was confirmed. A 38-year-old woman from Thessaloniki, who had recently visited Milan, Νorthern Italy, tested positive and was admitted to the AHEPA University Hospital. Her family, as well as those who came into contact with her, voluntarily isolated themselves."
264,China,"Feb 26, 2020","Yantai, Shandong will now test all persons entering China from the city for SARS-CoV-2 for free."
7,United Kingdom,"Feb 26, 2020",Britons returning from northern Italy told to self-isolate
952,Singapore,"Feb 26, 2020",Visitors from Daegu and Cheongdo (South Korea) banned
754,Italy,"Feb 26, 2020",Palermo and Naples closed all schools until 29 February
749,Italy,"Feb 25, 2020","Multiple fairs and exhibitions were rescheduled. Salone del Mobile, a furniture fair in Milan, was postponed to 16 to 21 June. Bologna Children's Book Fair was rescheduled to 4 to 7 May. Cosmoprof Worldwide Bologna, a cosmetic fair, was rescheduled to 11 to 15 June.Expocasa, a furniture fair in Turin, was rescheduled initially to 28 March to 5 April but later to future date to be announced later. Roma Motodays was postponed to 17 to 19 April."
711,Italy,"Feb 25, 2020","The number of checkpoints in the Red Zones was increased from 15 to 35, and army personnel were sent to help staff the checkpoints."
748,Italy,"Feb 25, 2020","Italy opened a probe into skyrocketing online prices for masks and sanitising gels. Police issued warnings that criminals were using false identities and posing as health inspectors to gain access to people's homes to steal money, jewellery and other valuables."
341,Belgium,"Feb 25, 2020","On 25 February Belgian federal minister of health Maggie De Block asserted that ""Belgium was prepared"" for the possible arrival of cases of infection with severe acute respiratory syndrome coronavirus 2.[25]"
364,Croatia,"Feb 25, 2020","On 25 February, Croatia confirmed its first case, a 26-year-old man who had been in Milan, Italy."
523,Switzerland,"Feb 25, 2020","first case of COVID-19 was confirmed. A 70-year-old man in the Italian-speaking canton of Ticino which borders Italy, tested positive for SARS-CoV-2. The man had previously visited Milan."
933,Denmark,"Feb 25, 2020","Initially, all testing of samples for SARS-CoV-2 was performed at the Statens Serum Institut, but on 25 February (before the first confirmed case in the country) this was expanded to all the hospitals that also had sections that were ready for treating serious cases of COVID-19.[47] In early March, other hospitals started to perform the tests."
718,Italy,"Feb 25, 2020","The Italian Basketball Federation suspended all of its championship games, including Lega Basket Serie A."
716,Italy,"Feb 25, 2020","On 25 February, USAF Aviano Air Base closed all schools until 28 February"
713,United States,"Feb 25, 2020",General Tod D. Walters issued a travel ban covering the areas of Italy affected by the outbreak for US service members and their families.
712,Italy,"Feb 25, 2020",Driver's license exams were suspended in Lombardy and Veneto.
128,Hong Kong,"Feb 25, 2020","The Education Bureau announced today (February 25) that class suspension of all schools will be extended to the end of schools' Easter holidays, that is, schools would resume classes on April 20 the earliest. However, the exact date of class resumption is subject to further assessment."
710,Italy,"Feb 25, 2020",Generali Tower in Milan and Palazzo Madama in Rome installed thermal scanners to measure temperatures of visitors and employees. FAO headquarters in Rome conducted temperature checks on visitors entering the building
1603,Brazil,"Feb 25, 2020","On 25 February, the Health Department of São Paulo reported the first case of COVID-19 in Brazil – and in South America. It was a 61-year-old man from São Paulo, São Paulo who travelled through Lombardy, Italy between 9 and 21 February. He tested positive for SARS-CoV-2 at Albert Einstein Israelite Hospital, which was also confirmed by the Adolfo Lutz Institute. The patient was showing mild symptoms and had been quarantined at home."
259,China,"Feb 25, 2020","In response the epidemic situation in South Korea and an apparent significant surge of demand for flight tickets from South Korea to Shandong cities, Qingdao will now quarantine all persons entering with a travel history of areas with the epidemic,[692] Weihai will now quarantine all persons entering from Japan and South Korea for 14 days,[693] Shenyang will now test the temperature of all passengers entering from the city,[694] and Dalian will now include all foreigners into its epidemic control mechanism."
796,Albania,"Feb 25, 2020","On 25 February, Skender Brataj, head of the National Medical Emergency Center (NMEC), announced protocols in case COVID-19 spread to Albania, explaining that citizens that suspect they have contracted the virus should call the designated National Emergency Number 127. He instructed all Albanian citizens arriving from China, Singapore, Iran, South Korea or Italy, to call the same number, so that a medical group with protective suits can escort them to an infections hospital for testing, with all samples sent to the Public Health Institute"
795,Albania,"Feb 25, 2020","On the same day, the Department of Health and Social Protection meet with the Technical Expert Committee, and decided to increase its hospital budget by $1 million, to increase the stock of personal protection equipment."
263,China,"Feb 25, 2020",Beijing required foreign travellers arriving from areas affected by COVID-19 to be quarantined for 14 days.
261,China,"Feb 25, 2020",Guangzhou will now test all inpatients for SARS-CoV-19.
39,South Korea,"Feb 25, 2020","Strictly maintain hand-wash and cough etiquette and maintain social distance within family, use separate towel and cutleries"
750,Italy,"Feb 25, 2020","Morgan Stanley, Barclays, Mediobanca and UniCredit requested their Milan staff to work from home"
785,Austria,"Feb 25, 2020","On 25 February 2020, Austria confirmed the first two cases of COVID-19, a 24-year-old man and a 24-year-old woman from Lombardy, Italy tested positive and were treated at a hospital in Innsbruck, Tyrol."
794,Albania,"Feb 25, 2020","Brataj also announced the formation of a task force, while asserting that COVI-19 had not yet arrived in Albania. He specified that citizens coming from affected areas will be monitored for 14 days and treated as suspected cases, and treated with vitamins."
571,Czechia,"Feb 25, 2020","On Tuesday, February 25, 2020, the enlarged Bureau of the State Security Council held a meeting that did not recommend travel to Lombardy and Veneto in Italy due to coronavirus. People should consider whether to go abroad at all."
41,South Korea,"Feb 25, 2020",Asiade Age care facility in Busan- cohort isolation after one social worker resulted positive 
40,South Korea,"Feb 25, 2020",Limit outdoor activity and interstate visit and follow self-isolation protocols 
751,Italy,"Feb 25, 2020","Istituto Tecnico Economico Enrico Tosi in Varese, Istituto Comprensivo di Pianoro in Bologna and Liceo Attilio Bertolucci in Parma conducted lessons for students online while waiting for the schools to reopen.[210][211][212] The University of Palermo suspended all activities until 9 March."
705,Italy,"Feb 24, 2020","Additional toll-free numbers were added for other regions — Valle D'Aosta 800122121, Trentino Alto Adige 800751751, Friuli Venezia Giulia 800500300, Toscana 800556060, Umbria 800636363, Marche 800936677 and Lazio 800118800"
703,Italy,"Feb 24, 2020",The Ministry of Health announced that it had engaged 31 laboratories in Italy to carry out the analysis of swabs from suspected COVID-19 cases.
702,Italy,"Feb 24, 2020","Minister Roberto Speranza appointed Walter Ricciardi, a member of World Health Organization's executive committee and former president of Italian National Institute of Health, as a special adviser for relations between Italy and international health organisations."
701,Italy,"Feb 24, 2020",Filming of Mission: Impossible 7 starring Tom Cruise in Venice was halted.
1101,Nepal,"Feb 24, 2020","A 31-year-old student of Wuhan University who had returned home on 5 January,was admitted with mild symptoms on 13 January and discharged on 17 January with instructions to self-quarantine at home after preliminary tests showed he may not be infected. Although Nepal had the laboratories and the skilled manpower to test for the disease, Nepal did not have the reagents required. The reagents cost around Rs 17,000 per test and need to be bought in bulk, sufficient for about 200 tests. As there were no other suspected cases needing testing, the officials decided to send the samples to Hong Kong instead of buying the reagents. The samples were sent to Hong Kong on 21 January. On 24 January, the Health ministry confirmed that the test had come back positive. The ministry said the patient was under surveillance, those who came into close contact with him were being investigated, and health information on all passengers returning from China was being sought. However, The Kathmandu Post quoted officials at the Epidemiology and Disease Control Disease as saying that no one knew of the patient's activity since he was discharged and that they were looking for him. Later, they said that they had only spoken to the patient on phone; he had reported being in good health and was not asked to come in for check-up or monitoring. The patient was confirmed completely treated when RT-PCR throat swabs returned negative for COVID-19 in followup assessments of 29 and 31 January. None of the people known to have come in contact with the patient showed any symptoms after three weeks of the patient's return to Nepal, and it was therefore presumed that he had not transmitted the disease to anyone else in Nepal."
